DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/25 14:10:4,26,16.17,515,371,0,0
2/25 14:10:5,26,16.46,517,359,1,0
2/25 14:10:6,26,16.46,518,361,1,0
2/25 14:10:7,26,16.46,515,374,16,0
2/25 14:10:8,26,16.76,486,383,147,0
2/25 14:10:9,26,17.05,497,385,494,0
2/25 14:10:10,26,16.76,514,414,805,0
2/25 14:10:11,26,16.46,522,414,988,0
2/25 14:10:12,26,16.76,521,417,1023,0
2/25 14:10:13,26,16.76,479,419,1023,0
2/25 14:10:14,26,16.76,513,416,1023,0
2/25 14:10:15,26,17.05,508,416,1023,0
2/25 14:10:16,26,17.05,494,417,1023,0
2/25 14:10:17,26,16.46,493,418,988,0
2/25 14:10:18,26,17.05,507,416,956,0
2/25 14:10:19,26,17.05,544,426,919,0
2/25 14:10:20,26,17.05,515,428,894,0
2/25 14:10:21,26,17.05,518,433,856,0
2/25 14:10:22,26,17.05,521,427,826,0
2/25 14:10:23,26,17.05,557,421,789,0
2/25 14:10:24,26,17.34,511,391,755,0
2/25 14:10:25,26,16.76,509,348,721,0
2/25 14:10:26,26,17.34,536,336,697,0
2/25 14:10:27,26,16.76,503,357,678,0
2/25 14:10:28,26,17.64,518,358,667,0
2/25 14:10:29,26,17.34,519,361,644,0
2/25 14:10:30,26,17.34,494,359,609,0
2/25 14:10:31,26,17.34,526,355,583,0
2/25 14:10:32,26,17.93,512,355,557,0
2/25 14:10:33,26,17.34,403,358,536,0
2/25 14:10:34,26,17.64,520,357,518,0
2/25 14:10:35,26,17.93,517,356,502,0
2/25 14:10:36,26,17.64,512,374,491,0
2/25 14:10:37,26,18.22,512,374,507,0
2/25 14:10:38,26,17.64,484,372,519,0
2/25 14:10:39,26,17.64,533,374,524,0
2/25 14:10:40,26,17.64,506,376,493,0
2/25 14:10:41,26,17.93,525,359,460,0
2/25 14:10:42,26,17.93,553,367,441,0
2/25 14:10:43,26,17.93,467,347,425,0
2/25 14:10:44,26,17.93,481,349,414,0
2/25 14:10:45,26,17.64,504,348,405,0
2/25 14:10:46,26,17.93,522,386,396,0
2/25 14:10:47,26,18.22,437,377,391,0
2/25 14:10:48,26,18.22,479,376,381,0
2/25 14:10:49,26,17.93,501,380,375,0
2/25 14:10:50,26,18.22,511,375,369,0
2/25 14:10:51,26,18.22,512,372,363,0
2/25 14:10:52,26,18.22,507,372,357,0
2/25 14:10:53,26,18.52,506,282,356,0
2/25 14:10:54,26,18.52,519,454,350,0
2/25 14:10:55,26,18.22,511,439,342,0
2/25 14:10:56,26,18.22,507,414,337,0
2/25 14:10:57,26,18.52,519,361,336,0
2/25 14:10:58,26,18.22,536,406,332,0
2/25 14:10:59,26,18.52,506,430,327,0
