DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/21 21:12:14,26,11.19,508,241,255,0
2/21 21:12:15,26,11.48,514,266,255,0
2/21 21:12:16,26,11.48,517,278,254,0
2/21 21:12:17,26,11.48,508,280,254,0
2/21 21:12:18,26,11.78,514,283,254,0
2/21 21:12:18,26,11.78,514,283,254,0
2/21 21:12:20,26,11.48,516,271,252,0
2/21 21:12:21,26,11.78,509,278,251,0
2/21 21:12:22,26,11.48,512,246,250,0
2/21 21:12:23,26,11.48,516,239,251,0
2/21 21:12:24,26,11.48,514,278,249,0
2/21 21:12:25,26,11.78,513,279,250,0
2/21 21:12:26,26,11.78,519,242,249,0
2/21 21:12:27,26,12.07,515,342,248,0
2/21 21:12:28,26,11.78,512,248,248,0
2/21 21:12:29,26,11.78,524,292,248,0
2/21 21:12:30,26,11.78,505,295,247,0
2/21 21:12:31,26,11.78,514,272,246,0
2/21 21:12:32,26,11.78,518,327,246,0
2/21 21:12:33,26,11.78,511,289,246,0
2/21 21:12:34,26,11.78,510,238,245,0
2/21 21:12:35,26,11.78,512,252,244,0
2/21 21:12:36,26,11.78,509,273,243,0
2/21 21:12:37,26,11.78,515,241,243,0
2/21 21:12:38,26,12.07,509,238,242,0
2/21 21:12:39,26,11.78,508,278,242,0
2/21 21:12:40,26,12.07,516,243,241,0
2/21 21:12:41,26,11.19,517,270,240,0
2/21 21:12:42,26,11.78,513,269,239,0
2/21 21:12:43,26,12.07,517,247,239,0
2/21 21:12:44,26,12.07,516,242,238,0
2/21 21:12:45,26,12.07,511,304,237,0
2/21 21:12:46,26,12.07,504,284,237,0
2/21 21:12:47,26,12.07,516,242,236,0
2/21 21:12:48,26,12.07,515,295,235,0
2/21 21:12:49,26,12.07,511,245,234,0
2/21 21:12:50,26,12.07,514,240,233,0
2/21 21:12:51,26,12.07,518,265,232,0
2/21 21:12:52,26,12.07,515,235,232,0
2/21 21:12:53,26,12.07,515,275,231,0
2/21 21:12:54,26,12.07,514,258,230,0
2/21 21:12:55,26,12.07,512,254,229,0
2/21 21:12:56,26,12.07,511,250,230,0
2/21 21:12:57,26,12.07,517,252,229,0
2/21 21:12:58,26,12.07,517,235,228,0
2/21 21:12:59,26,12.07,512,283,228,0
2/21 21:13:0,26,12.07,513,242,228,0
2/21 21:13:1,26,12.07,510,240,227,0
2/21 21:13:2,26,12.36,514,239,225,0
2/21 21:13:3,26,12.07,512,236,226,0
2/21 21:13:4,26,12.07,508,244,227,0
2/21 21:13:5,26,12.36,511,247,226,0
2/21 21:13:6,26,12.36,530,201,234,0
2/21 21:13:7,26,12.36,365,294,233,0
2/21 21:13:8,26,12.36,515,221,254,0
2/21 21:13:9,26,12.95,508,232,270,0
2/21 21:13:10,26,12.36,510,237,251,0
2/21 21:13:11,26,12.07,511,304,241,0
2/21 21:13:12,26,12.36,521,235,237,0
2/21 21:13:13,26,12.07,512,269,234,0
2/21 21:13:14,26,12.36,508,230,234,0
2/21 21:13:15,26,12.66,512,257,232,0
2/21 21:13:16,26,12.66,511,231,231,0
2/21 21:13:17,26,12.66,508,242,231,0
2/21 21:13:18,26,12.66,514,274,231,0
2/21 21:13:19,26,12.66,511,246,231,0
2/21 21:13:20,26,12.66,513,253,230,0
2/21 21:13:21,26,12.95,516,234,230,0
2/21 21:13:22,26,12.66,513,281,230,0
2/21 21:13:23,26,12.95,515,294,229,0
2/21 21:13:24,26,12.95,513,276,229,0
2/21 21:13:25,26,13.24,512,295,229,0
2/21 21:13:26,26,12.95,513,264,229,0
2/21 21:13:27,26,13.24,507,236,228,0
2/21 21:13:28,26,12.95,513,257,227,0
2/21 21:13:29,26,13.24,515,235,227,0
2/21 21:13:30,26,12.95,511,252,227,0
2/21 21:13:31,26,13.24,512,278,227,0
2/21 21:13:32,26,13.83,516,255,227,0
2/21 21:13:33,26,13.24,509,243,227,0
2/21 21:13:34,26,13.24,515,235,226,0
2/21 21:13:35,26,13.24,525,233,226,0
2/21 21:13:36,26,13.54,514,232,226,0
2/21 21:13:37,26,13.54,508,319,226,0
2/21 21:13:38,26,13.83,516,238,225,0
2/21 21:13:39,26,13.54,513,270,224,0
2/21 21:13:40,26,13.54,506,240,224,0
2/21 21:13:41,26,13.54,517,233,224,0
2/21 21:13:43,26,13.54,513,260,223,0
2/21 21:13:44,26,13.54,523,219,224,0
2/21 21:13:45,26,13.83,510,307,227,0
2/21 21:13:46,26,13.83,502,221,282,0
2/21 21:13:47,26,13.83,517,193,309,0
2/21 21:13:48,26,13.83,516,212,313,0
2/21 21:13:49,26,13.83,514,194,350,0
2/21 21:13:50,26,14.12,512,216,1023,0
2/21 21:13:51,26,14.12,541,236,1023,0
2/21 21:13:52,26,14.12,497,184,1023,0
2/21 21:13:53,26,14.12,512,192,1023,0
2/21 21:13:54,26,14.12,516,238,1023,0
2/21 21:13:55,26,14.41,509,205,1023,0
2/21 21:13:56,26,14.12,514,238,1023,0
2/21 21:13:57,26,14.41,514,215,1023,0
2/21 21:13:58,26,14.12,514,180,1023,0
2/21 21:13:59,26,14.71,511,181,1023,0
2/21 21:14:0,26,14.71,514,236,1023,0
2/21 21:14:1,26,14.71,512,195,1023,0
2/21 21:14:2,26,14.41,513,193,1023,0
2/21 21:14:3,26,14.41,517,207,1023,0
2/21 21:14:4,26,14.41,511,212,1023,0
2/21 21:14:5,26,14.71,515,225,1023,0
2/21 21:14:6,26,15.00,633,274,1023,0
2/21 21:14:7,26,15.00,438,202,1009,0
2/21 21:14:8,26,15.00,489,274,913,0
2/21 21:14:9,26,15.29,612,347,863,0
2/21 21:14:10,26,15.00,674,300,816,0
2/21 21:14:11,26,15.00,614,261,746,0
2/21 21:14:12,26,15.00,498,278,695,0
2/21 21:14:13,26,15.59,502,288,685,0
2/21 21:14:14,26,15.29,438,230,694,0
2/21 21:14:15,26,15.29,510,296,625,0
2/21 21:14:16,26,15.29,519,246,516,0
2/21 21:14:17,26,15.59,512,241,449,0
2/21 21:14:18,26,15.00,490,267,407,0
2/21 21:14:19,26,15.00,535,297,378,0
2/21 21:14:20,26,15.29,507,351,356,0
2/21 21:14:21,26,15.29,514,336,336,0
2/21 21:14:22,26,15.00,516,260,322,0
2/21 21:14:23,26,15.00,514,285,310,0
2/21 21:14:24,26,15.00,503,243,300,0
2/21 21:14:25,26,15.29,505,242,291,0
2/21 21:14:26,26,15.29,515,274,284,0
2/21 21:14:27,26,15.29,515,251,277,0
2/21 21:14:28,26,15.00,514,243,272,0
2/21 21:14:29,26,15.00,515,288,267,0
