DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/23 5:21:40,26,17.93,516,117,OFF,0
2/23 5:21:41,26,18.22,513,123,OFF,0
2/23 5:21:42,26,18.52,518,119,OFF,0
2/23 5:21:43,26,18.52,511,121,OFF,0
2/23 5:21:44,26,18.81,514,121,OFF,0
2/23 5:21:45,26,18.22,519,169,OFF,0
2/23 5:21:46,26,18.22,512,135,OFF,0
2/23 5:21:47,26,18.22,510,137,OFF,0
2/23 5:21:48,26,17.93,519,114,OFF,0
2/23 5:21:49,26,18.52,512,177,OFF,0
2/23 5:21:50,26,18.52,511,115,OFF,0
2/23 5:21:51,26,18.22,513,118,OFF,0
2/23 5:21:52,26,18.52,513,174,OFF,0
2/23 5:21:53,26,18.22,515,127,OFF,0
2/23 5:21:54,26,18.22,516,118,OFF,0
2/23 5:21:55,26,18.52,517,121,OFF,0
2/23 5:21:56,26,18.52,517,117,OFF,0
2/23 5:21:57,26,18.22,513,137,OFF,0
2/23 5:21:58,26,18.52,516,135,OFF,0
2/23 5:21:59,26,18.22,514,114,OFF,0
2/23 5:22:0,26,18.22,517,118,OFF,0
2/23 5:22:1,26,18.22,511,167,OFF,0
2/23 5:22:2,26,18.22,513,119,OFF,0
2/23 5:22:3,26,18.22,512,172,OFF,0
2/23 5:22:4,26,18.52,515,172,OFF,0
2/23 5:22:5,26,18.22,512,128,OFF,0
2/23 5:22:6,26,18.22,512,171,OFF,0
2/23 5:22:7,26,18.52,519,114,OFF,0
2/23 5:22:8,26,18.22,513,116,OFF,0
2/23 5:22:9,26,18.52,509,113,OFF,0
2/23 5:22:10,26,18.22,516,249,OFF,0
2/23 5:22:11,26,18.52,516,117,OFF,0
2/23 5:22:12,26,18.52,515,165,OFF,0
2/23 5:22:13,26,18.22,512,117,OFF,0
2/23 5:22:14,26,18.52,515,187,OFF,0
2/23 5:22:15,26,18.52,516,175,OFF,0
2/23 5:22:16,26,18.22,511,184,OFF,0
2/23 5:22:17,26,18.52,516,118,OFF,0
2/23 5:22:18,26,18.22,515,179,OFF,0
2/23 5:22:19,26,18.22,516,120,OFF,0
2/23 5:22:20,26,18.22,519,122,OFF,0
2/23 5:22:21,26,18.22,512,176,OFF,0
2/23 5:22:22,26,18.22,521,117,OFF,0
2/23 5:22:23,26,18.52,515,115,OFF,0
2/23 5:22:24,26,18.22,513,170,OFF,0
2/23 5:22:25,26,18.52,515,179,OFF,0
2/23 5:22:26,26,18.22,514,178,OFF,0
2/23 5:22:27,26,18.22,513,117,OFF,0
2/23 5:22:28,26,18.22,513,159,OFF,0
2/23 5:22:29,26,18.22,516,126,OFF,0
2/23 5:22:30,26,18.22,512,165,OFF,0
2/23 5:22:31,26,17.93,512,120,OFF,0
2/23 5:22:32,26,18.52,516,160,OFF,0
2/23 5:22:33,26,18.22,517,143,OFF,0
2/23 5:22:34,26,18.52,515,114,OFF,0
2/23 5:22:35,26,18.52,514,172,OFF,0
2/23 5:22:36,26,18.22,516,115,OFF,0
2/23 5:22:37,26,18.22,513,120,OFF,0
2/23 5:22:38,26,18.22,515,120,OFF,0
2/23 5:22:39,26,18.52,517,117,OFF,0
2/23 5:22:40,26,18.22,520,231,OFF,0
2/23 5:22:41,26,18.22,515,154,OFF,0
2/23 5:22:42,26,18.52,513,172,OFF,0
2/23 5:22:43,26,18.22,516,116,OFF,0
2/23 5:22:44,26,18.22,516,139,OFF,0
2/23 5:22:45,26,18.52,517,115,OFF,0
2/23 5:22:46,26,18.22,515,164,OFF,0
2/23 5:22:47,26,18.22,513,169,OFF,0
2/23 5:22:48,26,18.22,515,164,OFF,0
2/23 5:22:49,26,18.22,518,176,OFF,0
2/23 5:22:50,26,18.22,512,119,OFF,0
2/23 5:22:51,26,18.22,511,115,OFF,0
2/23 5:22:52,26,18.22,513,117,OFF,0
2/23 5:22:53,26,17.64,516,130,OFF,0
2/23 5:22:54,26,18.22,515,196,OFF,0
2/23 5:22:55,26,18.22,514,117,OFF,0
2/23 5:22:56,26,18.22,516,185,OFF,0
2/23 5:22:57,26,18.52,513,156,OFF,0
2/23 5:22:58,26,18.22,515,128,OFF,0
2/23 5:22:59,26,18.22,515,184,OFF,0
2/23 5:23:0,26,18.52,513,120,OFF,0
2/23 5:23:1,26,18.22,514,163,OFF,0
2/23 5:23:2,26,18.22,514,173,OFF,0
2/23 5:23:3,26,18.22,512,148,OFF,0
2/23 5:23:4,26,18.22,512,184,OFF,0
2/23 5:23:5,26,18.52,510,136,OFF,0
2/23 5:23:6,26,18.22,516,115,OFF,0
2/23 5:23:7,26,18.22,510,116,OFF,0
2/23 5:23:8,26,18.22,515,136,OFF,0
2/23 5:23:9,26,18.22,516,113,OFF,0
2/23 5:23:10,26,18.22,515,140,OFF,0
2/23 5:23:11,26,18.52,517,113,OFF,0
2/23 5:23:12,26,18.22,513,146,OFF,0
2/23 5:23:13,26,18.52,517,166,OFF,0
2/23 5:23:14,26,18.22,516,169,OFF,0
2/23 5:23:15,26,18.22,519,118,OFF,0
2/23 5:23:16,26,18.22,516,120,OFF,0
2/23 5:23:17,26,18.22,513,112,OFF,0
2/23 5:23:18,26,18.52,515,129,OFF,0
2/23 5:23:19,26,17.93,516,119,OFF,0
2/23 5:23:20,26,17.93,514,115,OFF,0
2/23 5:23:22,26,18.52,516,180,OFF,0
2/23 5:23:23,26,18.22,516,118,OFF,0
2/23 5:23:24,26,18.22,515,130,OFF,0
2/23 5:23:25,26,18.52,515,168,OFF,0
2/23 5:23:26,26,18.22,513,165,OFF,0
2/23 5:23:27,26,18.52,516,223,OFF,0
2/23 5:23:28,26,18.52,514,114,OFF,0
2/23 5:23:29,26,18.52,513,161,OFF,0
2/23 5:23:30,26,18.22,516,113,OFF,0
2/23 5:23:31,26,18.52,512,173,OFF,0
2/23 5:23:32,26,18.52,517,118,OFF,0
2/23 5:23:33,26,18.22,513,151,OFF,0
2/23 5:23:34,26,18.22,515,111,OFF,0
2/23 5:23:35,26,18.52,514,174,OFF,0
2/23 5:23:36,26,18.22,516,190,OFF,0
2/23 5:23:37,26,18.22,513,114,OFF,0
2/23 5:23:38,26,18.22,512,201,OFF,0
2/23 5:23:39,26,18.22,517,138,OFF,0
2/23 5:23:40,26,18.22,511,142,OFF,0
2/23 5:23:41,26,18.22,515,117,OFF,0
2/23 5:23:42,26,18.22,517,122,OFF,0
2/23 5:23:43,26,18.52,512,174,OFF,0
2/23 5:23:44,26,18.22,515,161,OFF,0
2/23 5:23:45,26,18.52,512,114,OFF,0
2/23 5:23:46,26,18.22,512,124,OFF,0
2/23 5:23:47,26,18.52,512,128,OFF,0
2/23 5:23:48,26,18.22,513,151,OFF,0
2/23 5:23:49,26,18.22,511,172,OFF,0
2/23 5:23:50,26,18.22,516,118,OFF,0
2/23 5:23:51,26,18.52,510,118,OFF,0
2/23 5:23:52,26,18.22,514,168,OFF,0
2/23 5:23:53,26,18.22,512,111,OFF,0
2/23 5:23:54,26,18.52,514,114,OFF,0
2/23 5:23:55,26,18.52,517,184,OFF,0
2/23 5:23:56,26,18.22,512,118,OFF,0
2/23 5:23:57,26,18.22,514,119,OFF,0
2/23 5:23:58,26,18.52,516,169,OFF,0
2/23 5:23:59,26,18.22,517,182,OFF,0
2/23 5:24:0,26,18.52,515,161,OFF,0
2/23 5:24:1,26,18.52,515,174,OFF,0
2/23 5:24:2,26,18.22,514,200,OFF,0
2/23 5:24:3,26,18.22,517,118,OFF,0
2/23 5:24:4,26,18.52,517,180,OFF,0
2/23 5:24:5,26,18.22,513,124,OFF,0
2/23 5:24:6,26,18.52,519,167,OFF,0
2/23 5:24:7,26,18.22,515,117,OFF,0
2/23 5:24:8,26,18.22,515,130,OFF,0
2/23 5:24:9,26,18.22,515,117,OFF,0
2/23 5:24:10,26,18.22,513,186,OFF,0
2/23 5:24:11,26,18.22,512,120,OFF,0
2/23 5:24:12,26,18.22,513,123,OFF,0
2/23 5:24:13,26,18.22,514,150,OFF,0
2/23 5:24:14,26,18.81,521,128,OFF,0
2/23 5:24:15,26,18.81,510,165,OFF,0
2/23 5:24:16,26,18.22,510,144,OFF,0
2/23 5:24:17,26,18.52,516,193,OFF,0
2/23 5:24:18,26,18.22,510,240,OFF,0
2/23 5:24:19,26,18.52,512,175,OFF,0
2/23 5:24:20,26,18.22,513,141,OFF,0
2/23 5:24:21,26,18.22,513,227,OFF,0
2/23 5:24:22,26,18.22,513,151,OFF,0
2/23 5:24:23,26,18.52,513,117,OFF,0
2/23 5:24:24,26,18.22,516,123,OFF,0
2/23 5:24:25,26,18.22,514,120,OFF,0
2/23 5:24:26,26,18.52,515,127,OFF,0
2/23 5:24:27,26,18.22,517,168,OFF,0
2/23 5:24:28,26,18.52,511,130,OFF,0
2/23 5:24:29,26,18.22,515,203,OFF,0
2/23 5:24:30,26,18.52,511,122,OFF,0
2/23 5:24:31,26,17.93,512,132,OFF,0
2/23 5:24:32,26,18.52,517,139,OFF,0
2/23 5:24:33,26,18.22,515,132,OFF,0
2/23 5:24:34,26,18.52,513,121,OFF,0
2/23 5:24:35,26,18.22,515,171,OFF,0
2/23 5:24:36,26,18.22,513,122,OFF,0
2/23 5:24:37,26,17.93,511,123,OFF,0
2/23 5:24:38,26,18.22,514,115,OFF,0
2/23 5:24:39,26,18.22,515,140,OFF,0
2/23 5:24:40,26,18.52,515,190,OFF,0
2/23 5:24:41,26,17.93,512,120,OFF,0
2/23 5:24:42,26,18.22,512,118,OFF,0
2/23 5:24:43,26,18.52,516,136,OFF,0
2/23 5:24:44,26,17.93,515,122,OFF,0
2/23 5:24:45,26,18.22,512,119,OFF,0
2/23 5:24:46,26,18.22,513,177,OFF,0
2/23 5:24:47,26,18.22,516,181,OFF,0
2/23 5:24:48,26,18.22,514,200,OFF,0
2/23 5:24:49,26,18.22,515,176,OFF,0
2/23 5:24:50,26,18.52,513,118,OFF,0
2/23 5:24:51,26,18.52,514,130,OFF,0
2/23 5:24:52,26,17.93,518,119,OFF,0
2/23 5:24:53,26,18.52,511,120,OFF,0
2/23 5:24:54,26,18.22,515,136,OFF,0
2/23 5:24:55,26,18.22,511,172,OFF,0
2/23 5:24:56,26,18.52,515,185,OFF,0
2/23 5:24:57,26,18.22,515,131,OFF,0
2/23 5:24:58,26,18.22,514,174,OFF,0
2/23 5:24:59,26,18.52,510,149,OFF,0
2/23 5:25:0,26,18.81,514,177,OFF,0
2/23 5:25:1,26,18.22,513,123,OFF,0
2/23 5:25:2,26,18.52,515,149,OFF,0
2/23 5:25:3,26,18.22,514,120,OFF,0
2/23 5:25:4,26,18.22,517,193,OFF,0
2/23 5:25:5,26,18.52,513,112,OFF,0
2/23 5:25:6,26,18.81,514,118,OFF,0
2/23 5:25:7,26,18.22,512,117,OFF,0
2/23 5:25:8,26,17.93,516,120,OFF,0
2/23 5:25:9,26,18.22,516,118,OFF,0
2/23 5:25:10,26,18.22,513,208,OFF,0
2/23 5:25:11,26,18.52,514,393,OFF,0
2/23 5:25:12,26,18.52,515,156,OFF,0
2/23 5:25:13,26,17.64,515,121,OFF,0
2/23 5:25:14,26,18.52,511,186,OFF,0
2/23 5:25:15,26,18.22,511,166,OFF,0
2/23 5:25:16,26,18.52,512,183,OFF,0
2/23 5:25:17,26,18.81,515,120,OFF,0
2/23 5:25:18,26,18.52,514,122,OFF,0
2/23 5:25:19,26,18.52,515,167,OFF,0
2/23 5:25:20,26,18.22,514,123,OFF,0
2/23 5:25:21,26,18.52,517,125,OFF,0
2/23 5:25:22,26,18.52,511,220,OFF,0
2/23 5:25:23,26,18.22,513,121,OFF,0
2/23 5:25:24,26,18.52,514,165,OFF,0
2/23 5:25:25,26,18.22,517,124,OFF,0
2/23 5:25:26,26,18.22,517,119,OFF,0
2/23 5:25:27,26,18.22,513,191,OFF,0
2/23 5:25:28,26,18.52,512,124,OFF,0
2/23 5:25:29,26,18.52,514,131,OFF,0
2/23 5:25:30,26,18.52,515,130,OFF,0
2/23 5:25:31,26,17.93,513,121,OFF,0
2/23 5:25:32,26,18.52,514,124,OFF,0
2/23 5:25:33,26,18.52,517,132,OFF,0
2/23 5:25:34,26,18.22,517,132,OFF,0
2/23 5:25:35,26,18.52,517,130,OFF,0
2/23 5:25:36,26,18.52,514,127,OFF,0
2/23 5:25:37,26,18.52,513,121,OFF,0
2/23 5:25:38,26,18.22,512,254,OFF,0
2/23 5:25:39,26,18.22,517,124,OFF,0
2/23 5:25:41,26,18.22,516,189,OFF,0
2/23 5:25:42,26,18.22,516,122,OFF,0
2/23 5:25:43,26,18.22,517,125,OFF,0
2/23 5:25:44,26,18.22,514,204,OFF,0
2/23 5:25:45,26,18.22,515,189,OFF,0
2/23 5:25:46,26,18.22,512,123,OFF,0
2/23 5:25:47,26,18.22,513,119,OFF,0
2/23 5:25:48,26,18.52,517,122,OFF,0
2/23 5:25:49,26,18.22,513,172,OFF,0
2/23 5:25:50,26,18.22,515,179,OFF,0
2/23 5:25:51,26,18.22,516,135,OFF,0
2/23 5:25:52,26,18.52,514,188,OFF,0
2/23 5:25:53,26,18.22,515,157,OFF,0
2/23 5:25:54,26,18.22,511,123,OFF,0
2/23 5:25:55,26,18.22,514,137,OFF,0
2/23 5:25:56,26,18.52,510,115,OFF,0
2/23 5:25:57,26,18.52,516,262,OFF,0
2/23 5:25:58,26,18.52,512,179,OFF,0
2/23 5:25:59,26,18.22,518,125,OFF,0
2/23 5:26:0,26,18.52,515,174,OFF,0
2/23 5:26:1,26,18.52,514,189,OFF,0
