DateTime,Mote,Temp,Mic,RF,AQ,Motion
2/21 21:30:49,26,13.54,513,229,118,0
2/21 21:30:50,26,13.24,515,280,118,0
2/21 21:30:51,26,13.54,509,229,118,0
2/21 21:30:52,26,13.24,510,282,118,0
2/21 21:30:53,26,13.54,515,231,118,0
2/21 21:30:54,26,12.95,514,245,118,0
2/21 21:30:55,26,13.54,515,265,118,0
2/21 21:30:56,26,13.54,515,288,118,0
2/21 21:30:57,26,13.54,511,289,118,0
2/21 21:30:58,26,13.24,516,232,118,0
2/21 21:30:59,26,13.54,488,344,118,0
2/21 21:31:0,26,13.54,500,275,118,0
2/21 21:31:1,26,13.54,496,236,118,0
2/21 21:31:2,26,12.95,519,248,118,0
2/21 21:31:3,26,13.54,507,286,118,0
2/21 21:31:4,26,13.54,519,259,118,0
2/21 21:31:5,26,13.24,514,244,118,0
2/21 21:31:6,26,13.54,512,300,117,0
2/21 21:31:7,26,13.54,513,242,118,0
2/21 21:31:8,26,13.54,514,268,118,0
2/21 21:31:9,26,13.54,514,236,118,0
2/21 21:31:10,26,13.54,518,232,118,0
2/21 21:31:11,26,13.83,514,232,118,0
2/21 21:31:12,26,13.54,513,283,118,0
2/21 21:31:13,26,13.24,513,227,118,0
2/21 21:31:14,26,13.54,508,229,121,0
2/21 21:31:15,26,13.54,510,273,119,0
2/21 21:31:16,26,13.54,516,272,118,0
2/21 21:31:17,26,13.54,514,237,119,0
2/21 21:31:18,26,13.54,509,277,118,0
2/21 21:31:19,26,13.83,512,283,119,0
2/21 21:31:20,26,13.54,517,229,119,0
2/21 21:31:21,26,13.83,517,239,119,0
2/21 21:31:22,26,13.24,512,238,122,0
2/21 21:31:23,26,13.54,511,231,119,0
2/21 21:31:24,26,13.83,513,229,118,0
2/21 21:31:25,26,13.54,509,250,118,0
2/21 21:31:26,26,13.54,512,263,118,0
2/21 21:31:27,26,13.54,519,245,118,0
2/21 21:31:28,26,13.54,513,269,118,0
2/21 21:31:29,26,13.54,510,255,118,0
2/21 21:31:30,26,13.54,519,237,119,0
2/21 21:31:31,26,13.54,520,288,118,0
2/21 21:31:32,26,12.95,510,236,118,0
2/21 21:31:33,26,13.54,518,282,118,0
2/21 21:31:34,26,13.54,518,302,119,0
2/21 21:31:35,26,13.83,512,286,118,0
2/21 21:31:36,26,13.54,507,291,118,0
2/21 21:31:38,26,13.54,509,225,118,0
2/21 21:31:39,26,13.54,511,282,118,0
2/21 21:31:40,26,13.54,515,270,117,0
2/21 21:31:41,26,13.83,518,285,118,0
2/21 21:31:42,26,13.83,510,232,118,0
2/21 21:31:43,26,13.83,509,293,119,0
2/21 21:31:44,26,13.54,519,307,119,0
2/21 21:31:45,26,13.54,507,296,118,0
2/21 21:31:46,26,13.54,508,233,119,0
2/21 21:31:47,26,13.54,513,243,119,0
2/21 21:31:48,26,13.54,516,230,118,0
2/21 21:31:49,26,13.54,513,292,119,0
2/21 21:31:50,26,13.54,522,229,120,0
2/21 21:31:51,26,13.54,516,258,119,0
2/21 21:31:52,26,13.54,510,239,119,0
2/21 21:31:53,26,13.54,515,235,119,0
2/21 21:31:54,26,13.24,512,238,119,0
2/21 21:31:55,26,13.24,510,309,120,0
2/21 21:31:56,26,13.54,513,292,119,0
2/21 21:31:57,26,13.54,515,360,119,0
2/21 21:31:58,26,14.12,521,356,119,0
2/21 21:31:59,26,13.54,508,343,119,0
2/21 21:32:0,26,13.54,508,271,119,0
2/21 21:32:1,26,13.54,511,358,119,0
2/21 21:32:2,26,13.54,511,370,119,0
2/21 21:32:3,26,13.54,519,244,118,0
2/21 21:32:4,26,13.54,513,333,119,0
2/21 21:32:5,26,13.54,516,365,120,0
2/21 21:32:6,26,13.54,513,230,119,0
2/21 21:32:7,26,13.24,517,290,118,0
2/21 21:32:8,26,14.12,511,239,119,0
2/21 21:32:9,26,13.54,506,302,120,0
2/21 21:32:10,26,13.54,517,288,119,0
2/21 21:32:11,26,13.54,520,234,119,0
2/21 21:32:12,26,13.83,520,230,120,0
2/21 21:32:13,26,13.54,515,238,120,0
2/21 21:32:14,26,12.95,507,230,120,0
2/21 21:32:15,26,13.83,511,227,120,0
2/21 21:32:16,26,13.54,511,286,120,0
2/21 21:32:17,26,13.54,517,236,120,0
2/21 21:32:18,26,13.83,520,297,121,0
2/21 21:32:19,26,13.54,518,238,120,0
2/21 21:32:20,26,13.54,516,322,119,0
2/21 21:32:21,26,13.54,517,274,120,0
2/21 21:32:22,26,13.54,513,251,120,0
2/21 21:32:23,26,13.54,514,279,120,0
2/21 21:32:24,26,13.54,512,273,120,0
2/21 21:32:25,26,14.12,508,238,120,0
2/21 21:32:26,26,13.83,515,362,120,0
2/21 21:32:27,26,13.54,515,236,120,0
2/21 21:32:28,26,13.54,505,237,120,0
2/21 21:32:29,26,13.54,511,243,121,0
2/21 21:32:30,26,13.24,516,233,120,0
2/21 21:32:31,26,13.54,514,285,121,0
2/21 21:32:32,26,13.54,518,235,120,0
2/21 21:32:33,26,13.54,516,229,120,0
2/21 21:32:34,26,13.54,514,244,121,0
2/21 21:32:35,26,13.54,512,262,121,0
2/21 21:32:36,26,13.54,510,328,121,0
2/21 21:32:37,26,13.24,513,235,121,0
2/21 21:32:38,26,13.54,508,235,122,0
2/21 21:32:39,26,13.54,519,227,120,0
2/21 21:32:40,26,13.54,509,235,121,0
2/21 21:32:41,26,13.83,510,283,121,0
2/21 21:32:42,26,13.54,512,285,122,0
2/21 21:32:43,26,13.24,512,301,121,0
2/21 21:32:44,26,13.54,510,232,121,0
2/21 21:32:45,26,13.54,511,264,121,0
2/21 21:32:46,26,13.54,512,229,121,0
2/21 21:32:47,26,13.54,518,297,121,0
2/21 21:32:48,26,13.54,514,245,121,0
2/21 21:32:49,26,13.54,518,306,122,0
2/21 21:32:50,26,13.54,518,245,121,0
2/21 21:32:51,26,13.83,508,302,122,0
2/21 21:32:52,26,13.54,504,271,122,0
2/21 21:32:53,26,14.12,513,248,121,0
2/21 21:32:54,26,13.54,509,306,122,0
2/21 21:32:55,26,13.54,516,251,121,0
2/21 21:32:56,26,13.54,505,250,121,0
2/21 21:32:57,26,13.54,505,239,121,0
2/21 21:32:58,26,13.54,515,241,122,0
2/21 21:32:59,26,13.54,503,292,121,0
2/21 21:33:0,26,13.54,510,236,121,0
2/21 21:33:1,26,13.54,507,333,122,0
2/21 21:33:2,26,13.83,515,237,122,0
2/21 21:33:3,26,13.83,511,242,123,0
2/21 21:33:4,26,13.54,512,300,121,0
2/21 21:33:5,26,13.54,514,329,122,0
2/21 21:33:6,26,13.54,512,307,122,0
2/21 21:33:7,26,13.54,524,280,122,0
2/21 21:33:8,26,13.54,518,230,122,0
2/21 21:33:9,26,13.54,521,281,121,0
2/21 21:33:10,26,13.24,522,294,121,0
2/21 21:33:11,26,13.24,500,239,121,0
2/21 21:33:12,26,13.54,513,237,121,0
2/21 21:33:13,26,13.24,502,285,120,0
2/21 21:33:14,26,13.54,513,251,121,0
2/21 21:33:15,26,13.24,513,238,121,0
2/21 21:33:16,26,13.54,511,240,121,0
2/21 21:33:17,26,13.54,512,271,121,0
2/21 21:33:18,26,13.83,523,250,120,0
2/21 21:33:19,26,13.54,518,237,120,0
2/21 21:33:20,26,13.83,517,235,120,0
2/21 21:33:21,26,13.54,520,288,121,0
2/21 21:33:22,26,13.54,507,266,120,0
2/21 21:33:23,26,13.54,515,237,121,0
2/21 21:33:24,26,13.54,510,236,120,0
2/21 21:33:25,26,13.54,512,238,121,0
2/21 21:33:26,26,13.54,511,235,121,0
2/21 21:33:27,26,13.54,515,285,121,0
2/21 21:33:28,26,13.54,507,293,121,0
2/21 21:33:29,26,13.54,515,240,120,0
2/21 21:33:30,26,13.54,510,297,121,0
2/21 21:33:31,26,13.54,519,231,121,0
2/21 21:33:32,26,14.12,511,273,121,0
2/21 21:33:33,26,13.54,513,289,121,0
2/21 21:33:34,26,13.54,505,254,122,0
2/21 21:33:35,26,13.54,518,236,121,0
2/21 21:33:36,26,13.54,506,260,121,0
2/21 21:33:37,26,13.54,514,319,122,0
2/21 21:33:38,26,13.83,507,237,122,0
2/21 21:33:39,26,13.54,519,243,121,0
2/21 21:33:40,26,13.54,491,229,121,0
2/21 21:33:41,26,13.54,505,282,123,0
2/21 21:33:42,26,13.54,496,292,121,0
2/21 21:33:43,26,13.54,502,296,122,0
2/21 21:33:44,26,13.54,520,232,121,0
2/21 21:33:45,26,13.54,507,232,121,0
