DateTime,Mic,Humidity,Temp
2/21 23:9:10,10.31,37.00,21.00
2/21 23:9:11,2.26,37.00,21.00
2/21 23:9:12,2.26,37.00,21.00
2/21 23:9:13,1.93,37.00,21.00
2/21 23:9:14,1.93,37.00,21.00
2/21 23:9:15,1.61,37.00,21.00
2/21 23:9:16,4.83,37.00,21.00
2/21 23:9:17,4.83,37.00,21.00
2/21 23:9:18,4.83,37.00,21.00
2/21 23:9:19,3.87,37.00,21.00
2/21 23:9:20,6.45,37.00,21.00
2/21 23:9:21,23.20,37.00,21.00
2/21 23:9:22,21.59,37.00,21.00
2/21 23:9:24,27.39,37.00,21.00
2/21 23:9:25,24.17,37.00,21.00
2/21 23:9:26,25.46,37.00,21.00
2/21 23:9:27,27.07,37.00,21.00
2/21 23:9:28,19.66,37.00,21.00
2/21 23:9:29,23.85,37.00,21.00
2/21 23:9:31,21.27,37.00,21.00
2/21 23:9:32,21.59,37.00,21.00
2/21 23:9:33,26.43,37.00,21.00
2/21 23:9:34,29.00,37.00,21.00
2/21 23:9:35,35.13,37.00,21.00
2/21 23:9:36,36.09,37.00,21.00
2/21 23:9:37,36.09,37.00,21.00
2/21 23:9:38,28.04,37.00,21.00
2/21 23:9:39,24.17,37.00,21.00
2/21 23:9:40,30.29,37.00,21.00
2/21 23:9:41,28.04,37.00,21.00
2/21 23:9:43,23.85,37.00,21.00
2/21 23:9:44,29.97,37.00,21.00
2/21 23:9:45,27.07,37.00,21.00
2/21 23:9:46,26.43,37.00,21.00
2/21 23:9:47,24.81,37.00,21.00
2/21 23:9:48,30.94,37.00,21.00
2/21 23:9:50,27.71,37.00,21.00
2/21 23:9:51,25.78,37.00,21.00
2/21 23:9:52,30.29,37.00,21.00
2/21 23:9:53,29.33,37.00,21.00
2/21 23:9:54,24.81,37.00,21.00
2/21 23:9:55,29.97,37.00,21.00
2/21 23:9:57,24.81,37.00,21.00
2/21 23:9:58,24.81,37.00,21.00
2/21 23:9:59,22.24,37.00,21.00
2/21 23:10:0,23.20,37.00,21.00
2/21 23:10:2,23.53,37.00,21.00
2/21 23:10:3,5.80,37.00,21.00
2/21 23:10:4,2.58,37.00,21.00
2/21 23:10:5,2.58,37.00,21.00
2/21 23:10:6,2.90,37.00,21.00
2/21 23:10:7,2.58,37.00,21.00
2/21 23:10:9,2.90,37.00,21.00
2/21 23:10:10,2.58,37.00,21.00
2/21 23:10:11,3.22,37.00,21.00
2/21 23:10:12,2.26,37.00,21.00
2/21 23:10:13,2.26,37.00,21.00
2/21 23:10:14,3.22,37.00,21.00
2/21 23:10:16,2.26,37.00,21.00
2/21 23:10:17,2.58,37.00,21.00
2/21 23:10:18,2.90,37.00,21.00
2/21 23:10:19,2.90,37.00,21.00
2/21 23:10:20,2.90,37.00,21.00
2/21 23:10:22,2.90,37.00,21.00
2/21 23:10:23,3.22,37.00,21.00
