Time Stamp, Noise Level, Humidity, Temperature (*C)
2/21 18:47:41,25.46,37.00,19.00
2/21 18:47:42,25.14,38.00,18.00
2/21 18:47:43,25.14,38.00,18.00
2/21 18:47:44,26.10,38.00,18.00
2/21 18:47:45,25.14,38.00,18.00
2/21 18:47:47,25.46,37.00,19.00
2/21 18:47:48,25.46,37.00,19.00
2/21 18:47:49,24.17,37.00,19.00
2/21 18:47:50,24.81,37.00,19.00
2/21 18:47:51,26.10,38.00,18.00
2/21 18:47:52,25.78,38.00,18.00
2/21 18:47:54,24.81,37.00,19.00
2/21 18:47:55,24.81,37.00,19.00
2/21 18:47:56,24.81,37.00,19.00
2/21 18:47:57,25.46,37.00,19.00
2/21 18:47:58,24.81,38.00,18.00
2/21 18:47:59,24.81,38.00,18.00
2/21 18:48:0,24.81,38.00,18.00
2/21 18:48:1,26.10,37.00,19.00
2/21 18:48:2,25.46,37.00,19.00
2/21 18:48:3,25.78,38.00,18.00
2/21 18:48:4,26.10,38.00,18.00
2/21 18:48:6,25.78,38.00,18.00
2/21 18:48:7,24.49,38.00,18.00
2/21 18:48:8,25.78,37.00,19.00
2/21 18:48:9,24.81,37.00,19.00
2/21 18:48:10,24.49,38.00,18.00
2/21 18:48:11,25.14,38.00,18.00
2/21 18:48:13,23.20,38.00,18.00
2/21 18:48:15,24.81,38.00,18.00
2/21 18:48:16,25.46,37.00,19.00
2/21 18:48:17,24.81,37.00,19.00
2/21 18:48:18,24.81,38.00,18.00
2/21 18:48:19,24.49,38.00,18.00
2/21 18:48:21,25.46,37.00,19.00
2/21 18:48:22,25.14,37.00,19.00
2/21 18:48:23,24.81,37.00,19.00
2/21 18:48:24,25.14,37.00,19.00
2/21 18:48:25,25.46,38.00,18.00
2/21 18:48:27,24.49,38.00,18.00
2/21 18:48:28,25.14,38.00,18.00
2/21 18:48:29,24.49,38.00,18.00
2/21 18:48:30,25.78,37.00,19.00
2/21 18:48:31,25.14,37.00,19.00
2/21 18:48:33,24.49,38.00,18.00
2/21 18:48:34,25.78,38.00,18.00
2/21 18:48:35,25.46,38.00,18.00
2/21 18:48:36,25.14,38.00,18.00
2/21 18:48:37,25.14,38.00,18.00
2/21 18:48:38,23.20,38.00,18.00
2/21 18:48:40,25.14,37.00,19.00
2/21 18:48:41,25.78,37.00,19.00
2/21 18:48:42,25.46,38.00,18.00
2/21 18:48:43,25.14,38.00,18.00
2/21 18:48:44,25.46,38.00,18.00
2/21 18:48:45,25.14,38.00,18.00
2/21 18:48:47,24.81,38.00,18.00
2/21 18:48:48,25.46,38.00,18.00
2/21 18:48:49,26.10,37.00,19.00
