Time Stamp, Noise Level, Humidity, Temperature (*C)
2/15 15:12:17,24.49,38.00,18.00
2/15 15:12:18,25.14,38.00,18.00
2/15 15:12:19,24.81,38.00,18.00
2/15 15:12:20,24.81,38.00,18.00
2/15 15:12:21,25.14,38.00,18.00
2/15 15:12:22,23.53,38.00,18.00
2/15 15:12:23,23.53,38.00,18.00
2/15 15:12:24,25.14,38.00,18.00
2/15 15:12:25,24.49,38.00,18.00
2/15 15:12:26,24.49,38.00,18.00
2/15 15:12:27,24.17,38.00,18.00
2/15 15:12:28,24.81,38.00,18.00
2/15 15:12:30,25.46,38.00,18.00
2/15 15:12:31,24.49,38.00,18.00
